Year,League,Statistic,Team,Value
1962,AL,Fewest Home Runs Allowed,Los Angeles,118.0
1962,AL,Fewest Walks Allowed,Minnesota,493.0
1962,AL,Saves,Los Angeles,47.0
1962,AL,Shutouts,Los Angeles,15.0
1962,AL,Strikeouts,Minnesota,948.0
1963,AL,Complete Games,New York,59.0
1963,AL,ERA,Chicago,2.98
1963,AL,Fewest Hits Allowed,New York,1239.0
1963,AL,Fewest Home Runs Allowed,Chicago,100.0
1963,AL,Fewest Walks Allowed,Chicago,440.0
1963,AL,Saves,Baltimore,43.0
1963,AL,Shutouts,Chicago,21.0
1963,AL,Strikeouts,Cleveland,1019.0
1964,AL,Complete Games,Minnesota,47.0
1964,AL,ERA,Chicago,2.73
1964,AL,Fewest Hits Allowed,Chicago,1216.0
1964,AL,Fewest Home Runs Allowed,Los Angeles,100.0
1964,AL,Fewest Walks Allowed,Chicago,401.0
1964,AL,Saves,Chicago,45.0
1964,AL,Shutouts,Los Angeles,28.0
1964,AL,Strikeouts,Cleveland,1162.0
1965,AL,Complete Games,Detroit,45.0
1965,AL,ERA,Baltimore,2.98
1965,AL,Fewest Hits Allowed,Cleveland,1254.0
1965,AL,Fewest Home Runs Allowed,California,91.0
1965,AL,Fewest Walks Allowed,Chicago,460.0
1965,AL,Saves,Chicago,53.0
1965,AL,Shutouts,Baltimore,15.0
1965,AL,Strikeouts,Cleveland,1156.0
1966,AL,Complete Games,Minnesota,52.0
1966,AL,ERA,Chicago,2.69
1966,AL,Fewest Hits Allowed,Chicago,1229.0
1966,AL,Fewest Home Runs Allowed,Chicago,101.0
1966,AL,Fewest Walks Allowed,Minnesota,392.0
1966,AL,Saves,Baltimore,51.0
1966,AL,Shutouts,Chicago,22.0
1966,AL,Strikeouts,Cleveland,1111.0
1967,AL,Complete Games,Minnesota,58.0
1967,AL,ERA,Chicago,2.45
1967,AL,Fewest Hits Allowed,Chicago,1197.0
1967,AL,Fewest Home Runs Allowed,Chicago,87.0
1967,AL,Fewest Walks Allowed,Minnesota,396.0
1967,AL,Saves,California,46.0
1967,AL,Shutouts,Chicago,24.0
1967,AL,Strikeouts,Cleveland,1189.0
1968,AL,Complete Games,Detroit,59.0
1968,AL,ERA,Cleveland,2.66
1968,AL,Fewest Hits Allowed,Cleveland,1087.0
1968,AL,Fewest Home Runs Allowed,Minnesota,92.0
1968,AL,Fewest Walks Allowed,Minnesota,414.0
1968,AL,Saves,Chicago,40.0
1968,AL,Shutouts,Cleveland,23.0
1968,AL,Strikeouts,Cleveland,1157.0
1969,AL,Complete Games,Detroit,55.0
1969,AL,ERA,Baltimore,2.83
1969,AL,Fewest Hits Allowed,Baltimore,1194.0
1969,AL,Fewest Home Runs Allowed,Baltimore,117.0
1969,AL,Fewest Walks Allowed,Baltimore,498.0
1969,AL,Saves,Minnesota,43.0
1969,AL,Shutouts,Baltimore,20.0
1969,AL,Strikeouts,Detroit,1032.0
1970,AL,Complete Games,Baltimore,60.0
1970,AL,ERA,Baltimore,3.15
1970,AL,Fewest Hits Allowed,Oakland,1253.0
1970,AL,Fewest Home Runs Allowed,Minnesota,130.0
1970,AL,Fewest Walks Allowed,New York,451.0
1970,AL,Saves,Minnesota,58.0
1970,AL,Shutouts,Oakland,15.0
1970,AL,Strikeouts,Cleveland,1076.0
1971,AL,Complete Games,Baltimore,71.0
1971,AL,ERA,Baltimore,2.99
1971,AL,Fewest Hits Allowed,Oakland,1299.0
1971,AL,Fewest Home Runs Allowed,Kansas City,84.0
1971,AL,Fewest Walks Allowed,Baltimore,416.0
1971,AL,Saves,Kansas City,44.0
1971,AL,Shutouts,Milwaukee,23.0
1971,AL,Strikeouts,Detroit,1000.0
1972,AL,Complete Games,Baltimore,62.0
1972,AL,ERA,Baltimore,2.53
1972,AL,Fewest Hits Allowed,California,1109.0
1972,AL,Fewest Home Runs Allowed,Baltimore,85.0
1972,AL,Fewest Walks Allowed,Baltimore,395.0
1972,AL,Saves,Oakland,43.0
1972,AL,Shutouts,Oakland,23.0
1972,AL,Strikeouts,California,1000.0
1973,AL,Complete Games,California,72.0
1973,AL,ERA,Baltimore,3.07
1973,AL,Fewest Hits Allowed,Baltimore,1297.0
1973,AL,Fewest Home Runs Allowed,California,104.0
1973,AL,Fewest Walks Allowed,New York,457.0
1973,AL,Saves,Detroit,46.0
1973,AL,Shutouts,Minnesota,18.0
1973,AL,Strikeouts,California,1010.0
1974,AL,Complete Games,Boston,71.0
1974,AL,ERA,Oakland,2.96
1974,AL,Fewest Hits Allowed,Oakland,1322.0
1974,AL,Fewest Home Runs Allowed,Oakland,90.0
1974,AL,Fewest Walks Allowed,Oakland,430.0
1974,AL,Saves,Chicago,29.0
1974,AL,Shutouts,Baltimore,16.0
1974,AL,Strikeouts,California,986.0
1975,AL,Complete Games,Baltimore,70.0
1975,AL,ERA,Baltimore,3.17
1975,AL,Fewest Hits Allowed,Oakland,1267.0
1975,AL,Fewest Home Runs Allowed,Oakland,102.0
1975,AL,Fewest Walks Allowed,Boston,490.0
1975,AL,Saves,Oakland,44.0
1975,AL,Shutouts,Baltimore,19.0
1975,AL,Strikeouts,California,975.0
1976,AL,Complete Games,California,64.0
1976,AL,ERA,New York,3.2
1976,AL,Fewest Hits Allowed,New York,1300.0
1976,AL,Fewest Home Runs Allowed,Baltimore,90.0
