Year,League,Statistic,Team,Value
1963,AL,Fewest Hits Allowed,New York,1239
1963,AL,Fewest Home Runs Allowed,Chicago,100
1963,AL,Fewest Walks Allowed,Chicago,440
1963,AL,Saves,Baltimore,43
1963,AL,Shutouts,Chicago,21
1963,AL,Strikeouts,Cleveland,1019
1964,AL,Complete Games,Minnesota,47
1964,AL,ERA,Chicago,2.73
1964,AL,Fewest Hits Allowed,Chicago,1216
1964,AL,Fewest Home Runs Allowed,Los Angeles,100
1964,AL,Fewest Walks Allowed,Chicago,401
1964,AL,Saves,Chicago,45
1964,AL,Shutouts,Los Angeles,28
1964,AL,Strikeouts,Cleveland,1162
1965,AL,Complete Games,Detroit,45
1965,AL,ERA,Baltimore,2.98
1965,AL,Fewest Hits Allowed,Cleveland,1254
1965,AL,Fewest Home Runs Allowed,California,91
1965,AL,Fewest Walks Allowed,Chicago,460
1965,AL,Saves,Chicago,53
1965,AL,Shutouts,Baltimore,15
1965,AL,Strikeouts,Cleveland,1156
1966,AL,Complete Games,Minnesota,52
1966,AL,ERA,Chicago,2.69
1966,AL,Fewest Hits Allowed,Chicago,1229
1966,AL,Fewest Home Runs Allowed,Chicago,101
1966,AL,Fewest Walks Allowed,Minnesota,392
1966,AL,Saves,Baltimore,51
1966,AL,Shutouts,Chicago,22
1966,AL,Strikeouts,Cleveland,1111
1967,AL,Complete Games,Minnesota,58
1967,AL,ERA,Chicago,2.45
1967,AL,Fewest Hits Allowed,Chicago,1197
1967,AL,Fewest Home Runs Allowed,Chicago,87
1967,AL,Fewest Walks Allowed,Minnesota,396
1967,AL,Saves,California,46
1967,AL,Shutouts,Chicago,24
1967,AL,Strikeouts,Cleveland,1189
1968,AL,Complete Games,Detroit,59
1968,AL,ERA,Cleveland,2.66
1968,AL,Fewest Hits Allowed,Cleveland,1087
1968,AL,Fewest Home Runs Allowed,Minnesota,92
1968,AL,Fewest Walks Allowed,Minnesota,414
1968,AL,Saves,Chicago,40
1968,AL,Shutouts,Cleveland,23
1968,AL,Strikeouts,Cleveland,1157
1969,AL,Complete Games,Detroit,55
1969,AL,ERA,Baltimore,2.83
1969,AL,Fewest Hits Allowed,Baltimore,1194
1969,AL,Fewest Home Runs Allowed,Baltimore,117
1969,AL,Fewest Walks Allowed,Baltimore,498
1969,AL,Saves,Minnesota,43
1969,AL,Shutouts,Baltimore,20
1969,AL,Strikeouts,Detroit,1032
1970,AL,Complete Games,Baltimore,60
1970,AL,ERA,Baltimore,3.15
1970,AL,Fewest Hits Allowed,Oakland,1253
1970,AL,Fewest Home Runs Allowed,Minnesota,130
1970,AL,Fewest Walks Allowed,New York,451
1970,AL,Saves,Minnesota,58
1970,AL,Shutouts,Oakland,15
1970,AL,Strikeouts,Cleveland,1076
1971,AL,Complete Games,Baltimore,71
1971,AL,ERA,Baltimore,2.99
1971,AL,Fewest Hits Allowed,Oakland,1299
1971,AL,Fewest Home Runs Allowed,Kansas City,84
1971,AL,Fewest Walks Allowed,Baltimore,416
1971,AL,Saves,Kansas City,44
1971,AL,Shutouts,Milwaukee,23
1971,AL,Strikeouts,Detroit,1000
1972,AL,Complete Games,Baltimore,62
1972,AL,ERA,Baltimore,2.53
1972,AL,Fewest Hits Allowed,California,1109
1972,AL,Fewest Home Runs Allowed,Baltimore,85
1972,AL,Fewest Walks Allowed,Baltimore,395
1972,AL,Saves,Oakland,43
1972,AL,Shutouts,Oakland,23
1972,AL,Strikeouts,California,1000
1973,AL,Complete Games,California,72
1973,AL,ERA,Baltimore,3.07
1973,AL,Fewest Hits Allowed,Baltimore,1297
1973,AL,Fewest Home Runs Allowed,California,104
1973,AL,Fewest Walks Allowed,New York,457
1973,AL,Saves,Detroit,46
1973,AL,Shutouts,Minnesota,18
1973,AL,Strikeouts,California,1010
