Year,League,Statistic,Team,Value
1921,NL,Runs,New York,840
1921,NL,Slugging Average,St. Louis,.437
1921,NL,Stolen Bases,New York,137
1921,NL,Triples,Pittsburgh,104
1922,NL,Base on Balls,Chicago,525
1922,NL,Batting Average,Pittsburgh,.308
1922,NL,Doubles,St. Louis,280
1922,NL,Hits,Pittsburgh,1698
1922,NL,Home Runs,Philadelphia,116
1922,NL,On Base Percentage,New York,.363
1922,NL,Runs,Pittsburgh,865
1922,NL,Slugging Average,St. Louis,.444
1922,NL,Stolen Bases,Pittsburgh,145
1922,NL,Triples,Pittsburgh,110
1923,NL,Base on Balls,New York,487
1923,NL,Batting Average,New York,.295
1923,NL,Doubles,St. Louis,274
1923,NL,Hits,New York,1610
1923,NL,Home Runs,Philadelphia,112
1923,NL,On Base Percentage,New York,.356
1923,NL,Runs,New York,854
1923,NL,Slugging Average,New York,.415
1923,NL,Stolen Bases,Chicago,181
1923,NL,Triples,Pittsburgh,111
1924,NL,Base on Balls,Chicago,469
1924,NL,Batting Average,New York,.300
1924,NL,Doubles,St. Louis,270
1924,NL,Hits,New York,1634
1924,NL,Home Runs,New York,95
1924,NL,On Base Percentage,New York,.358
1924,NL,Runs,New York,857
1924,NL,Slugging Average,New York,.432
1924,NL,Stolen Bases,Pittsburgh,181
1924,NL,Triples,Pittsburgh,122
1925,NL,Base on Balls,Pittsburgh,499
1925,NL,Batting Average,Pittsburgh,.307
1925,NL,Doubles,Pittsburgh,316
1925,NL,Hits,Pittsburgh,1651
1925,NL,Home Runs,New York,114
1925,NL,On Base Percentage,Pittsburgh,.369
1925,NL,Runs,Pittsburgh,912
1925,NL,Slugging Average,Pittsburgh,.449
1925,NL,Stolen Bases,Pittsburgh,159
1925,NL,Triples,Pittsburgh,105
1926,NL,Base on Balls,St. Louis,478
1926,NL,Batting Average,Cincinnati,.290
1926,NL,Doubles,Chicago,291
1926,NL,Home Runs,St. Louis,90
1926,NL,On Base Percentage,Cincinnati,.349
1926,NL,Runs,St. Louis,817
1926,NL,Slugging Average,St. Louis,.415
1926,NL,Stolen Bases,New York,94
1926,NL,Triples,Cincinnati,120
1927,NL,Base on Balls,St. Louis,484
1927,NL,Batting Average,Pittsburgh,.305
1927,NL,Doubles,Chicago,266
1927,NL,Hits,Pittsburgh,1648
1927,NL,Home Runs,New York,109
1927,NL,On Base Percentage,Pittsburgh,.361
1927,NL,Runs,New York,817
1927,NL,Slugging Average,New York,.427
1927,NL,Stolen Bases,St. Louis,110
1927,NL,Triples,St. Louis,79
1928,NL,Base on Balls,St. Louis,568
