Year,League,Statistic,Team,Value
1931,NL,Fewest Home Runs Allowed,Cincinnati,75
1931,NL,Saves,St. Louis,21
1931,NL,Shutouts,Brooklyn,13
1931,NL,Strikeouts,St. Louis,639
1932,NL,Complete Games,Cincinnati,83
1932,NL,ERA,Chicago,3.45
1932,NL,Fewest Hits Allowed,Chicago,1444
1932,NL,Fewest Home Runs Allowed,Boston,61
1932,NL,Fewest Walks Allowed,Cincinnati,276
1932,NL,Saves,Philadelphia,17
1932,NL,Shutouts,St. Louis,13
1932,NL,Strikeouts,St. Louis,681
1933,NL,Complete Games,Chicago,95
1933,NL,ERA,New York,2.71
1933,NL,Fewest Hits Allowed,New York,1280
1933,NL,Fewest Home Runs Allowed,Cincinnati,47
1933,NL,Fewest Walks Allowed,Cincinnati,257
1933,NL,Saves,Boston,16
1933,NL,Shutouts,New York,23
1933,NL,Strikeouts,St. Louis,635
1934,NL,Complete Games,St. Louis,78
1934,NL,ERA,New York,3.19
1934,NL,Fewest Hits Allowed,New York,1384
1934,NL,Fewest Home Runs Allowed,Cincinnati,61
1934,NL,Fewest Walks Allowed,New York,351
1934,NL,Saves,New York,30
1934,NL,Shutouts,St. Louis,15
1934,NL,Strikeouts,St. Louis,689
1935,NL,Complete Games,Chicago,81
1935,NL,ERA,Chicago,3.26
1935,NL,Fewest Hits Allowed,Chicago,1417
1935,NL,Fewest Home Runs Allowed,Pittsburgh,63
1935,NL,Fewest Walks Allowed,Pittsburgh,312
1935,NL,Saves,Brooklyn,20
1935,NL,Shutouts,Pittsburgh,15
1935,NL,Strikeouts,St. Louis,602
1936,NL,Complete Games,Chicago,77
1936,NL,ERA,New York,3.46
1936,NL,Fewest Hits Allowed,Chicago,1413
1936,NL,Fewest Home Runs Allowed,Cincinnati,51
1936,NL,Fewest Walks Allowed,Pittsburgh,379
1936,NL,Saves,St. Louis,24
1936,NL,Shutouts,Chicago,18
1936,NL,Strikeouts,Brooklyn,651
1937,NL,Complete Games,Boston,85
1937,NL,ERA,Boston,3.22
1937,NL,Fewest Hits Allowed,New York,1341
1937,NL,Fewest Home Runs Allowed,Cincinnati,38
1937,NL,Fewest Walks Allowed,Boston,372
1937,NL,Saves,Cincinnati,18
1937,NL,Shutouts,Boston,16
1937,NL,Strikeouts,New York,653
1938,NL,Complete Games,Boston,83
1938,NL,ERA,Chicago,3.38
1938,NL,Fewest Hits Allowed,Cincinnati,1329
1938,NL,Fewest Home Runs Allowed,Boston,66
1938,NL,Fewest Walks Allowed,New York,389
1938,NL,Saves,Chicago,18
1938,NL,Shutouts,Chicago,16
1938,NL,Strikeouts,Chicago,583
1939,NL,Complete Games,Cincinnati,86
1939,NL,ERA,Cincinnati,3.28
1939,NL,Fewest Hits Allowed,Cincinnati,1340
1939,NL,Fewest Home Runs Allowed,Boston,63
1939,NL,Fewest Walks Allowed,Brooklyn,399
1939,NL,Saves,St. Louis,32
1939,NL,Shutouts,St. Louis,18
1939,NL,Strikeouts,Cincinnati,637
1940,NL,Complete Games,Cincinnati,91
1940,NL,ERA,Cincinnati,3.05
1940,NL,Fewest Hits Allowed,Cincinnati,1263
1940,NL,Fewest Home Runs Allowed,Pittsburgh,72
1940,NL,Fewest Walks Allowed,Brooklyn,393
1940,NL,Saves,Pittsburgh,24
1940,NL,Shutouts,Brooklyn,17
1940,NL,Strikeouts,Brooklyn,639
1941,NL,Complete Games,Cincinnati,89
1941,NL,ERA,Brooklyn,3.15
1941,NL,Fewest Hits Allowed,Brooklyn,1236
1941,NL,Fewest Home Runs Allowed,Chicago,60
1941,NL,Fewest Walks Allowed,Chicago,449
1941,NL,Saves,Brooklyn,22
1941,NL,Shutouts,Cincinnati,19
1941,NL,Strikeouts,St. Louis,659
1942,NL,Complete Games,Cincinnati,80
1942,NL,ERA,St. Louis,2.55
1942,NL,Fewest Hits Allowed,St. Louis,1192
1942,NL,Fewest Home Runs Allowed,Cincinnati,47
1942,NL,Fewest Walks Allowed,Pittsburgh,435
1942,NL,Saves,Brooklyn,24
1942,NL,Shutouts,St. Louis,18
1942,NL,Strikeouts,St. Louis,651
1943,NL,Complete Games,St. Louis,94
1943,NL,ERA,St. Louis,2.57
1943,NL,Fewest Hits Allowed,St. Louis,1246
1943,NL,Fewest Home Runs Allowed,St. Louis,33
1943,NL,Fewest Walks Allowed,Chicago,394
1943,NL,Saves,Brooklyn,22
1943,NL,Shutouts,St. Louis,21
1943,NL,Strikeouts,St. Louis,639
1944,NL,Complete Games,Cincinnati,93
1944,NL,ERA,St. Louis,2.68
1944,NL,Fewest Hits Allowed,St. Louis,1228
1944,NL,Fewest Home Runs Allowed,Philadelphia,49
1944,NL,Fewest Walks Allowed,Cincinnati,390
1944,NL,Saves,New York,21
1944,NL,Shutouts,St. Louis,26
1944,NL,Strikeouts,St. Louis,637
1945,NL,Complete Games,Chicago,86
1945,NL,ERA,Chicago,2.98
1945,NL,Fewest Hits Allowed,Chicago,1301
1945,NL,Fewest Home Runs Allowed,Chicago,57
1945,NL,Fewest Walks Allowed,Chicago,385
1945,NL,Saves,Philadelphia,26
1945,NL,Shutouts,St. Louis,18
1945,NL,Strikeouts,Brooklyn,557
1946,NL,Complete Games,St. Louis,75
1946,NL,ERA,St. Louis,3.01
1946,NL,Fewest Hits Allowed,Brooklyn,1280
1946,NL,Fewest Home Runs Allowed,Pittsburgh,50
1946,NL,Fewest Walks Allowed,Cincinnati,467
1946,NL,Saves,Brooklyn,28
