Year,League,Statistic,Team,Value
1902,NL,Runs,Pittsburgh,775.0
1902,NL,Slugging Average,Pittsburgh,0.374
1902,NL,Stolen Bases,Chicago,222.0
1902,NL,Triples,Pittsburgh,95.0
1903,NL,Base on Balls,Brooklyn,522.0
1903,NL,Batting Average,Cincinnati,0.288
1903,NL,Doubles,Cincinnati,228.0
1903,NL,Hits,Pittsburgh,1429.0
1903,NL,Home Runs,Pittsburgh,34.0
1903,NL,On Base Percentage,Brooklyn,0.348
1903,NL,Runs,Pittsburgh,793.0
1903,NL,Slugging Average,Pittsburgh,0.393
1903,NL,Stolen Bases,Brooklyn,273.0
1903,NL,Triples,Pittsburgh,110.0
1904,NL,Base on Balls,New York,434.0
1904,NL,Batting Average,New York,0.262
1904,NL,Doubles,New York,202.0
1904,NL,Hits,New York,1347.0
1904,NL,Home Runs,New York,31.0
1904,NL,On Base Percentage,New York,0.328
1904,NL,Runs,New York,744.0
1904,NL,Slugging Average,New York,0.344
1904,NL,Stolen Bases,New York,283.0
1904,NL,Triples,Pittsburgh,102.0
1905,NL,Base on Balls,New York,517.0
1905,NL,Batting Average,New York,0.273
1905,NL,Doubles,New York,191.0
1905,NL,Hits,Cincinnati,1401.0
1905,NL,Home Runs,New York,39.0
1905,NL,On Base Percentage,New York,0.351
1905,NL,Runs,New York,780.0
1905,NL,Slugging Average,New York,0.368
1905,NL,Stolen Bases,New York,291.0
1905,NL,Triples,Cincinnati,101.0
1906,NL,Base on Balls,New York,563.0
1906,NL,Batting Average,Chicago,0.262
1906,NL,Doubles,Philadelphia,197.0
1906,NL,Hits,Chicago,1316.0
1906,NL,Home Runs,Brooklyn,25.0
1906,NL,On Base Percentage,New York,0.343
1906,NL,Runs,Chicago,705.0
1906,NL,Slugging Average,Chicago,0.339
1906,NL,Stolen Bases,New York,288.0
1906,NL,Triples,Chicago,71.0
1907,NL,Base on Balls,New York,516.0
1907,NL,Batting Average,Pittsburgh,0.254
1907,NL,Doubles,Chicago,162.0
1907,NL,Hits,Pittsburgh,1261.0
1907,NL,Home Runs,New York,23.0
1907,NL,On Base Percentage,New York,0.331
1907,NL,Runs,Pittsburgh,634.0
1907,NL,Slugging Average,Pittsburgh,0.324
1907,NL,Stolen Bases,Pittsburgh,264.0
1907,NL,Triples,Cincinnati,90.0
1908,NL,Base on Balls,New York,494.0
1908,NL,Batting Average,New York,0.267
1908,NL,Doubles,Chicago,196.0
1908,NL,Hits,New York,1339.0
1908,NL,Home Runs,Brooklyn,28.0
1908,NL,On Base Percentage,New York,0.342
1908,NL,Runs,New York,652.0
1908,NL,Slugging Average,New York,0.333
1908,NL,Stolen Bases,Chicago,212.0
1908,NL,Triples,Pittsburgh,98.0
1909,NL,Base on Balls,St. Louis,568.0
1909,NL,Batting Average,Pittsburgh,0.26
1909,NL,Doubles,Pittsburgh,218.0
1909,NL,Hits,Pittsburgh,1332.0
1909,NL,Home Runs,New York,26.0
1909,NL,On Base Percentage,New York,0.329
1909,NL,Runs,Pittsburgh,699.0
1909,NL,Slugging Average,Pittsburgh,0.353
1909,NL,Stolen Bases,Cincinnati,280.0
1909,NL,Triples,Pittsburgh,92.0
1910,NL,Base on Balls,St. Louis,655.0
1910,NL,Batting Average,New York,0.275
1910,NL,Doubles,Philadelphia,223.0
1910,NL,Hits,New York,1391.0
1910,NL,Home Runs,Chicago,34.0
1910,NL,On Base Percentage,New York,0.354
1910,NL,Runs,New York,715.0
1910,NL,Slugging Average,Chicago,0.366
1910,NL,Stolen Bases,Cincinnati,310.0
1910,NL,Triples,Chicago,84.0
1911,NL,Base on Balls,St. Louis,592.0
1911,NL,Batting Average,New York,0.279
1911,NL,Doubles,Boston,249.0
1911,NL,Hits,Boston,1417.0
1911,NL,Home Runs,Philadelphia,60.0
1911,NL,On Base Percentage,New York,0.358
1911,NL,Runs,Chicago,757.0
1911,NL,Slugging Average,New York,0.39
1911,NL,Stolen Bases,New York,347.0
1911,NL,Triples,Pittsburgh,106.0
1912,NL,Base on Balls,Chicago,560.0
1912,NL,Batting Average,New York,0.286
1912,NL,Doubles,Chicago,245.0
1912,NL,Hits,Pittsburgh,1493.0
1912,NL,Home Runs,New York,47.0
1912,NL,On Base Percentage,New York,0.36
1912,NL,Runs,New York,823.0
1912,NL,Slugging Average,Pittsburgh,0.398
1912,NL,Stolen Bases,New York,319.0
1912,NL,Triples,Pittsburgh,129.0
1913,NL,Base on Balls,Chicago,554.0
1913,NL,Batting Average,New York,0.273
1913,NL,Doubles,Philadelphia,257.0
