Year,League,Statistic,Team,Value
1919,NL,Fewest Walks Allowed,Pittsburgh,263.0
1919,NL,Saves,New York,13.0
1919,NL,Shutouts,Cincinnati,23.0
1919,NL,Strikeouts,Chicago,495.0
1920,NL,Complete Games,Chicago,95.0
1920,NL,ERA,Brooklyn,2.62
1920,NL,Fewest Hits Allowed,Cincinnati,1327.0
1920,NL,Fewest Home Runs Allowed,Brooklyn,25.0
1920,NL,Fewest Walks Allowed,Pittsburgh,280.0
1920,NL,Saves,St. Louis,12.0
1920,NL,Shutouts,New York,18.0
1920,NL,Strikeouts,Brooklyn,553.0
1921,NL,Complete Games,Pittsburgh,88.0
1921,NL,ERA,Pittsburgh,3.17
1921,NL,Fewest Hits Allowed,Pittsburgh,1448.0
1921,NL,Fewest Home Runs Allowed,Pittsburgh,37.0
1921,NL,Fewest Walks Allowed,New York,295.0
1921,NL,Saves,New York,18.0
1921,NL,Shutouts,Boston,11.0
1921,NL,Strikeouts,Pittsburgh,500.0
1922,NL,Complete Games,Cincinnati,88.0
1922,NL,ERA,New York,3.45
1922,NL,Fewest Hits Allowed,New York,1454.0
1922,NL,Fewest Home Runs Allowed,Cincinnati,49.0
1922,NL,Fewest Walks Allowed,Cincinnati,326.0
1922,NL,Saves,New York,15.0
1922,NL,Shutouts,Pittsburgh,15.0
1922,NL,Strikeouts,Brooklyn,499.0
1923,NL,Complete Games,Brooklyn,94.0
1923,NL,ERA,Cincinnati,3.22
1923,NL,Fewest Hits Allowed,Chicago,1419.0
1923,NL,Fewest Home Runs Allowed,Cincinnati,28.0
1923,NL,Fewest Walks Allowed,Cincinnati,359.0
1923,NL,Saves,New York,18.0
1923,NL,Shutouts,Boston,13.0
1923,NL,Strikeouts,Brooklyn,548.0
1924,NL,Complete Games,Brooklyn,97.0
1924,NL,ERA,Cincinnati,3.12
1924,NL,Fewest Hits Allowed,Pittsburgh,1387.0
1924,NL,Fewest Home Runs Allowed,Cincinnati,30.0
1924,NL,Fewest Walks Allowed,Cincinnati,293.0
1924,NL,Saves,New York,21.0
1924,NL,Shutouts,Pittsburgh,15.0
1924,NL,Strikeouts,Brooklyn,638.0
1925,NL,Complete Games,Cincinnati,92.0
1925,NL,ERA,Cincinnati,3.39
1925,NL,Fewest Hits Allowed,Cincinnati,1447.0
1925,NL,Fewest Home Runs Allowed,Cincinnati,35.0
1925,NL,Fewest Walks Allowed,Cincinnati,324.0
1925,NL,Saves,Pittsburgh,13.0
1925,NL,Shutouts,Cincinnati,11.0
1925,NL,Strikeouts,Brooklyn,518.0
1926,NL,Complete Games,St. Louis,90.0
1926,NL,ERA,Chicago,3.26
1926,NL,Fewest Hits Allowed,New York,1370.0
1926,NL,Fewest Home Runs Allowed,Chicago,39.0
1926,NL,Fewest Walks Allowed,Cincinnati,324.0
1926,NL,Saves,Pittsburgh,18.0
1926,NL,Shutouts,Cincinnati,14.0
1926,NL,Strikeouts,Brooklyn,517.0
1927,NL,Complete Games,Pittsburgh,90.0
1927,NL,ERA,Brooklyn,3.36
1927,NL,Fewest Hits Allowed,Brooklyn,1382.0
1927,NL,Fewest Home Runs Allowed,Cincinnati,36.0
1927,NL,Fewest Walks Allowed,Cincinnati,316.0
1927,NL,Saves,New York,16.0
1927,NL,Shutouts,St. Louis,14.0
1927,NL,Strikeouts,Brooklyn,574.0
1928,NL,Complete Games,St. Louis,83.0
1928,NL,ERA,Brooklyn,3.25
1928,NL,Fewest Hits Allowed,Brooklyn,1378.0
1928,NL,Fewest Home Runs Allowed,Chicago,56.0
1928,NL,Fewest Walks Allowed,St. Louis,399.0
1928,NL,Saves,St. Louis,21.0
1928,NL,Shutouts,Brooklyn,16.0
1928,NL,Strikeouts,Brooklyn,551.0
1929,NL,Complete Games,St. Louis,83.0
1929,NL,ERA,New York,3.97
1929,NL,Fewest Hits Allowed,Pittsburgh,1530.0
1929,NL,Fewest Home Runs Allowed,Cincinnati,61.0
1929,NL,Fewest Walks Allowed,New York,387.0
1929,NL,Saves,Philadelphia,24.0
1929,NL,Shutouts,Chicago,14.0
1929,NL,Strikeouts,Brooklyn,549.0
1930,NL,Complete Games,New York,90.0
1930,NL,ERA,New York,3.31
1930,NL,Fewest Hits Allowed,New York,1341.0
1930,NL,Fewest Home Runs Allowed,Cincinnati,51.0
1930,NL,Fewest Walks Allowed,Brooklyn,351.0
1930,NL,Saves,St. Louis,20.0
1930,NL,Shutouts,New York,17.0
1930,NL,Strikeouts,St. Louis,626.0
1931,NL,Complete Games,Pittsburgh,80.0
1931,NL,ERA,Brooklyn,4.03
1931,NL,Fewest Hits Allowed,Brooklyn,1480.0
1931,NL,Fewest Home Runs Allowed,Cincinnati,75.0
1931,NL,Saves,St. Louis,21.0
1931,NL,Shutouts,Brooklyn,13.0
1931,NL,Strikeouts,St. Louis,639.0
1932,NL,Complete Games,Cincinnati,83.0
1932,NL,ERA,Chicago,3.45
1932,NL,Fewest Hits Allowed,Chicago,1444.0
1932,NL,Fewest Home Runs Allowed,Boston,61.0
1932,NL,Fewest Walks Allowed,Cincinnati,276.0
1932,NL,Saves,Philadelphia,17.0
1932,NL,Shutouts,St. Louis,13.0
1932,NL,Strikeouts,St. Louis,681.0
1933,NL,Complete Games,Chicago,95.0
1933,NL,ERA,New York,2.71
1933,NL,Fewest Hits Allowed,New York,1280.0
1933,NL,Fewest Home Runs Allowed,Cincinnati,47.0
1933,NL,Fewest Walks Allowed,Cincinnati,257.0
1933,NL,Saves,Boston,16.0
1933,NL,Shutouts,New York,23.0
1933,NL,Strikeouts,St. Louis,635.0
1934,NL,Complete Games,St. Louis,78.0
1934,NL,ERA,New York,3.19
1934,NL,Fewest Hits Allowed,New York,1384.0
1934,NL,Fewest Home Runs Allowed,Cincinnati,61.0
1934,NL,Fewest Walks Allowed,New York,351.0
1934,NL,Saves,New York,30.0
1934,NL,Shutouts,St. Louis,15.0
1934,NL,Strikeouts,St. Louis,689.0
1935,NL,Complete Games,Chicago,81.0
1935,NL,ERA,Chicago,3.26
1935,NL,Fewest Hits Allowed,Chicago,1417.0
1935,NL,Fewest Home Runs Allowed,Pittsburgh,63.0
1935,NL,Fewest Walks Allowed,Pittsburgh,312.0
1935,NL,Saves,Brooklyn,20.0
1935,NL,Shutouts,Pittsburgh,15.0
1935,NL,Strikeouts,St. Louis,602.0
1936,NL,Complete Games,Chicago,77.0
1936,NL,ERA,New York,3.46
1936,NL,Fewest Hits Allowed,Chicago,1413.0
1936,NL,Fewest Home Runs Allowed,Cincinnati,51.0
1936,NL,Fewest Walks Allowed,Pittsburgh,379.0
1936,NL,Saves,St. Louis,24.0
1936,NL,Shutouts,Chicago,18.0
1936,NL,Strikeouts,Brooklyn,651.0
1937,NL,Complete Games,Boston,85.0
1937,NL,ERA,Boston,3.22
1937,NL,Fewest Hits Allowed,New York,1341.0
1937,NL,Fewest Home Runs Allowed,Cincinnati,38.0
1937,NL,Fewest Walks Allowed,Boston,372.0
1937,NL,Saves,Cincinnati,18.0
1937,NL,Shutouts,Boston,16.0
1937,NL,Strikeouts,New York,653.0
1938,NL,Complete Games,Boston,83.0
1938,NL,ERA,Chicago,3.38
1938,NL,Fewest Hits Allowed,Cincinnati,1329.0
1938,NL,Fewest Home Runs Allowed,Boston,66.0
1938,NL,Fewest Walks Allowed,New York,389.0
1938,NL,Saves,Chicago,18.0
1938,NL,Shutouts,Chicago,16.0
1938,NL,Strikeouts,Chicago,583.0
1939,NL,Complete Games,Cincinnati,86.0
1939,NL,ERA,Cincinnati,3.28
1939,NL,Fewest Hits Allowed,Cincinnati,1340.0
1939,NL,Fewest Home Runs Allowed,Boston,63.0
1939,NL,Fewest Walks Allowed,Brooklyn,399.0
1939,NL,Saves,St. Louis,32.0
1939,NL,Shutouts,St. Louis,18.0
1939,NL,Strikeouts,Cincinnati,637.0
1940,NL,Complete Games,Cincinnati,91.0
1940,NL,ERA,Cincinnati,3.05
1940,NL,Fewest Hits Allowed,Cincinnati,1263.0
1940,NL,Fewest Home Runs Allowed,Pittsburgh,72.0
1940,NL,Fewest Walks Allowed,Brooklyn,393.0
1940,NL,Saves,Pittsburgh,24.0
1940,NL,Shutouts,Brooklyn,17.0
1940,NL,Strikeouts,Brooklyn,639.0
1941,NL,Complete Games,Cincinnati,89.0
1941,NL,ERA,Brooklyn,3.15
1941,NL,Fewest Hits Allowed,Brooklyn,1236.0
1941,NL,Fewest Home Runs Allowed,Chicago,60.0
